clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,0,64,10_percent,0,21216,16552,2652,0,122,102,82,0.7801659125188537,0.2198340874811463,1.0
c01,raw,0,64,10_percent,1,21216,19471,2652,2919,167,147,116,0.9177507541478129,0.08224924585218707,1.1763533107781536
c01,raw,0,64,10_percent,2,21216,20571,2652,4019,204,171,157,0.9695984162895928,0.030401583710407243,1.2428105364910584
c01,raw,1,8,any,0,1272960,816810,0,0,69,47,0,0.6416619532428356,0.3583380467571644,1.0
c01,raw,1,8,any,1,1272960,1057789,0,240979,146,107,29,0.8309679801407742,0.16903201985922578,1.2950245467122097
c01,raw,1,8,any,2,1272960,1144899,0,328089,170,143,60,0.8993990384615385,0.10060096153846154,1.4016711352701363
c01,raw,1,8,1_percent,0,1272960,816810,0,0,69,47,0,0.6416619532428356,0.3583380467571644,1.0
c01,raw,1,8,1_percent,1,1272960,1057789,0,240979,146,107,29,0.8309679801407742,0.16903201985922578,1.2950245467122097
c01,raw,1,8,1_percent,2,1272960,1144899,0,328089,170,143,60,0.8993990384615385,0.10060096153846154,1.4016711352701363
c01,raw,1,8,5_percent,0,1272960,656714,0,0,40,10,0,0.5158952362996481,0.48410476370035194,1.0
c01,raw,1,8,5_percent,1,1272960,910240,0,253526,85,59,3,0.7150578179989945,0.2849421820010055,1.3860523759201113
c01,raw,1,8,5_percent,2,1272960,1026953,0,370239,137,78,30,0.806744123931624,0.19325587606837602,1.5637750984446805
c01,raw,1,8,10_percent,0,1272960,564964,0,0,15,3,0,0.443819130216189,0.556180869783811,1.0
c01,raw,1,8,10_percent,1,1272960,833314,0,268350,62,45,1,0.6546270110608345,0.34537298893916546,1.4749860168081506
c01,raw,1,8,10_percent,2,1272960,960201,0,395237,115,60,5,0.7543057126696833,0.24569428733031673,1.6995790882250905
c01,raw,1,16,any,0,318240,243979,0,0,120,76,14,0.7666509552538965,0.23334904474610352,1.0
c01,raw,1,16,any,1,318240,292571,0,48592,176,156,78,0.9193407491201608,0.08065925087983916,1.1991646822062554
c01,raw,1,16,any,2,318240,306133,0,62154,192,176,119,0.9619563851181498,0.03804361488185015,1.2547514335250165
c01,raw,1,16,1_percent,0,318240,222089,0,0,84,60,4,0.6978663901458019,0.3021336098541981,1.0
c01,raw,1,16,1_percent,1,318240,279201,0,57112,167,127,57,0.877328431372549,0.12267156862745099,1.2571581663207092
c01,raw,1,16,1_percent,2,318240,299915,0,77826,185,169,83,0.9424176721970839,0.057582327802916056,1.3504270810350805
c01,raw,1,16,5_percent,0,318240,181688,0,0,52,32,0,0.5709150326797385,0.42908496732026147,1.0
c01,raw,1,16,5_percent,1,318240,244364,0,62676,124,66,21,0.7678607340372047,0.23213926596279533,1.3449649949363744
c01,raw,1,16,5_percent,2,318240,275185,0,93497,163,125,47,0.8647090246354953,0.13529097536450474,1.5146019549997798
c01,raw,1,16,10_percent,0,318240,151393,0,0,29,6,0,0.4757195827048768,0.5242804172951232,1.0
